short_description,date_posted,post_time_hour_24h,day_of_week,niche_category,content_format,content_format_clean,hook_style,trending_sound_used,video_duration_seconds,views,likes,comments,shares,saves_or_favorites,engagement_rate,performance_label,followers_gained,watch_time_percentage,avg_watch_time_seconds,hashtag_1,hashtag_2,hashtag_3,total_hashtag_count
How to: Hotel booking trick,22/11/2025,18:58,Saturday,Travel Hacks,voiceover,voiceover,Tutorial,0,50.9,111257,4854,1488,617,67,0.063151,High,8,16.73%,8.42,budgettravel,packinghacks,visa,3
How to: Low-cost itinerary tips,07/01/2026,11:58,Wednesday,Budget Travel,voiceover,voiceover,Tutorial,1,44.8,85650,3944,1067,555,153,0.066772,High,6,32.35%,13.09,budgettravel,travelsavings,budgettravel,4
How to: Affordable destinations for 2026,10/01/2026,19:24,Saturday,Budget Travel,voiceover,voiceover,Tutorial,0,58.09,48924,2233,297,262,420,0.065653,High,2,12.42%,5.9,travelsavings,traveltips,workvisa,4
Stop scrolling - Perfect itinerary for first-timers,03/12/2025,17:06,Wednesday,Destination Guides,voiceover,voiceover,Dramatic,0,28.24,35513,1221,185,205,16,0.045814,Medium,2,28.03%,9.18,travelguide,hiddengems,visa,5
My experience: How to find cheaper flights,28/11/2025,08:30,Friday,Travel Hacks,voiceover,voiceover,Story,0,46.02,56945,2125,414,274,76,0.050733,Medium,5,30.41%,13.84,packinghacks,travelhacks,travel,3
Save up to 40% on fees - Top places to visit in 48 hours,12/12/2025,07:53,Friday,Destination Guides,voiceover,voiceover,Statistic,1,58.13,136451,5180,679,806,144,0.049901,Medium,9,15.43%,8.93,hiddengems,thingstodo,creatorsearchinsight,4
How to: How to travel with $50/day,13/12/2025,12:06,Saturday,Budget Travel,voiceover,voiceover,Tutorial,0,33.86,537694,27216,5250,2406,2912,0.07027,High,21,13.57%,3.15,traveltips,budgettravel,visa,4
Approval rate tips - Save money on baggage fees,10/01/2026,21:41,Saturday,Travel Hacks,screen_recording,screen_recording,Statistic,0,29.62,31057,1320,273,142,192,0.062047,High,2,8.72%,1.92,packinghacks,traveltips,visa,3
My experience: 3 documents you must not forget,04/12/2025,18:58,Thursday,Visa Application Tips,screen_recording,screen_recording,Story,0,24.37,85649,3785,877,575,50,0.061729,High,3,31.31%,6.58,visa,visatips,visa,5
My experience: How to find cheaper flights,26/01/2026,18:00,Monday,Travel Hacks,voiceover,voiceover,Story,0,87.03,62406,1992,385,353,139,0.045973,Medium,3,4.00%,2.67,budgettravel,traveltips,creatorsearchinsight,4
How to: Step-by-step visa process explained,05/12/2025,11:18,Friday,Visa Application Tips,voiceover,voiceover,Tutorial,0,26.31,222592,10174,1981,2123,946,0.068394,High,11,5.77%,1.0,travelvisa,visa,travel,4
How to: Budget breakdown for a 7-day trip,04/11/2025,10:10,Tuesday,Budget Travel,voiceover,voiceover,Tutorial,0,48.15,72284,3301,937,551,44,0.066861,High,2,17.78%,9.98,travelsavings,cheaptravel,workvisa,5
Visa application checklist?,05/11/2025,11:41,Wednesday,Visa Application Tips,text_overlay,text_overlay,Question,0,9.68,54982,2580,507,389,35,0.063857,High,4,6.19%,1.0,visatips,visa,creatorsearchinsight,4
Hidden gems you should not miss?,10/11/2025,18:13,Monday,Destination Guides,voiceover,voiceover,Question,1,21.38,144625,5578,1164,655,920,0.057507,Medium,15,25.45%,6.5,thingstodo,travelguide,visa,5
Common visa rejection reasons?,23/12/2025,15:30,Tuesday,Visa Application Tips,screen_recording,screen_recording,Question,0,15.71,73242,3402,674,421,45,0.062014,High,5,25.02%,3.7,travelvisa,visa,studyabroad,4
Stop scrolling - Top places to visit in 48 hours,05/11/2025,08:30,Wednesday,Destination Guides,text_overlay,text_overlay,Dramatic,0,22.47,69577,2495,295,457,122,0.048421,Medium,3,23.78%,5.93,visit,hiddengems,studyabroad,5
My experience: Budget breakdown for a 7-day trip,26/01/2026,17:06,Monday,Budget Travel,voiceover,voiceover,Story,1,44.92,146481,5698,840,492,1246,0.056499,Medium,9,20.19%,9.46,cheaptravel,travelonabudget,visa,4
How to: Hotel booking trick,21/01/2026,08:24,Wednesday,Travel Hacks,voiceover,voiceover,Tutorial,0,28.82,34240,1731,405,282,45,0.071933,High,3,10.01%,2.53,budgettravel,travelhacks,studyabroad,3
How to: Save money on baggage fees,06/01/2026,11:00,Tuesday,Travel Hacks,text_overlay,text_overlay,Tutorial,0,34.54,87865,4583,1058,586,60,0.071553,High,5,17.08%,6.44,cheapflights,traveltips,workvisa,4
How to: Travel hack for long layovers,21/01/2026,22:06,Wednesday,Travel Hacks,voiceover,voiceover,Tutorial,1,23.5,77637,3458,847,542,238,0.065497,High,4,14.98%,2.62,packinghacks,budgettravel,creatorsearchinsight,5
Travel hack for long layovers?,14/01/2026,18:06,Wednesday,Travel Hacks,text_overlay,text_overlay,Question,0,72.93,49154,2009,479,419,27,0.05969,Medium,2,15.82%,12.03,travelhacks,traveltips,travelhacks,4
How to: How to find cheaper flights,21/12/2025,22:10,Sunday,Travel Hacks,screen_recording,screen_recording,Tutorial,1,41.87,270711,11157,3870,2128,3043,0.074611,High,27,24.63%,10.35,traveltips,packinghacks,studyabroad,5
How to: Hidden gems you should not miss,27/01/2026,13:58,Tuesday,Destination Guides,voiceover,voiceover,Tutorial,1,36.9,109974,3955,959,726,1017,0.060532,High,10,30.60%,10.8,destination,visit,destination,5
My experience: Food spots you must try,11/01/2026,19:41,Sunday,Destination Guides,screen_recording,screen_recording,Story,0,19.98,699242,23406,5871,3300,1054,0.048096,Medium,51,33.82%,7.92,hiddengems,visit,travel,4
Hidden gems you should not miss?,11/01/2026,08:58,Sunday,Destination Guides,voiceover,voiceover,Question,0,11.24,13851,432,133,83,39,0.049599,Medium,1,35.08%,3.39,visit,hiddengems,creatorsearchinsight,4
How to: Perfect itinerary for first-timers,10/11/2025,22:10,Monday,Destination Guides,text_overlay,text_overlay,Tutorial,0,53.88,47118,2245,458,277,30,0.063882,High,4,16.05%,7.19,thingstodo,destination,travel,5
How to: Perfect itinerary for first-timers,27/12/2025,20:10,Saturday,Destination Guides,voiceover,voiceover,Tutorial,0,55.73,77738,3065,616,511,41,0.054452,Medium,7,7.17%,5.1,thingstodo,travelguide,travel,4
My experience: Hidden gems you should not miss,12/12/2025,19:10,Friday,Destination Guides,text_overlay,text_overlay,Story,1,40.79,58527,2302,353,322,29,0.051361,Medium,2,43.48%,18.16,destination,travelguide,travel,4
How to: How to travel with $50/day,03/01/2026,09:13,Saturday,Budget Travel,text_overlay,text_overlay,Tutorial,1,13.55,63276,2668,551,292,588,0.06478,High,6,28.88%,3.87,traveltips,budgettravel,travel,3
My experience: Step-by-step visa process explained,28/12/2025,22:13,Sunday,Visa Application Tips,text_overlay,text_overlay,Story,1,28.78,201185,8852,1358,1422,113,0.058379,Medium,10,20.23%,5.31,visatips,travelvisa,visatips,3
My experience: Travel hack for long layovers,24/01/2026,12:24,Saturday,Travel Hacks,voiceover,voiceover,Story,1,20.86,21058,796,118,124,133,0.055608,Medium,2,15.28%,2.2,packinghacks,travelhacks,packinghacks,5
How to find cheaper flights?,07/12/2025,19:41,Sunday,Travel Hacks,voiceover,voiceover,Question,1,17.28,70886,2786,550,396,341,0.057458,Medium,2,37.53%,5.6,traveltips,packinghacks,creatorsearchinsight,3
How to: Top places to visit in 48 hours,16/11/2025,09:53,Sunday,Destination Guides,text_overlay,text_overlay,Tutorial,1,40.33,194439,9373,1824,929,225,0.063521,High,8,21.24%,8.8,destination,travelguide,destination,3
Don’t do this - Affordable destinations for 2026,23/12/2025,08:06,Tuesday,Budget Travel,voiceover,voiceover,Dramatic,0,40.38,155220,5409,1049,984,201,0.04924,Medium,5,18.98%,8.53,traveltips,cheaptravel,travel,4
Common visa rejection reasons?,20/01/2026,08:24,Tuesday,Visa Application Tips,voiceover,voiceover,Question,0,89.92,18133,887,117,98,29,0.062372,High,1,13.97%,13.42,immigration,visa,immigration,4
My experience: Step-by-step visa process explained,15/01/2026,10:06,Thursday,Visa Application Tips,screen_recording,screen_recording,Story,0,82.35,29572,1205,125,189,92,0.054477,Medium,2,13.11%,12.2,immigration,visa,travel,3
How to find cheaper flights?,12/11/2025,14:53,Wednesday,Travel Hacks,voiceover,voiceover,Question,0,80.56,55883,2207,182,392,516,0.058998,Medium,5,10.74%,9.17,cheapflights,budgettravel,cheapflights,4
Approval rate tips - How to find cheaper flights,13/12/2025,09:18,Saturday,Travel Hacks,screen_recording,screen_recording,Statistic,0,52.13,116292,4814,1024,592,64,0.055842,Medium,11,18.44%,8.67,budgettravel,traveltips,creatorsearchinsight,3
What to do in one day?,17/01/2026,13:10,Saturday,Destination Guides,voiceover,voiceover,Question,1,70.87,45627,1599,419,333,130,0.054376,Medium,1,15.39%,10.58,thingstodo,travelguide,travel,4
Food spots you must try?,27/12/2025,15:18,Saturday,Destination Guides,voiceover,voiceover,Question,0,11.37,18857,765,103,136,10,0.053773,Medium,1,23.14%,2.22,visit,travelguide,relocation,4
Important update - Save money on baggage fees,18/11/2025,07:18,Tuesday,Travel Hacks,voiceover,voiceover,Dramatic,0,55.25,60360,2077,224,381,343,0.050116,Medium,4,19.55%,9.74,cheapflights,travelhacks,studyabroad,3
Save up to 40% on fees - What to do in one day,06/12/2025,17:10,Saturday,Destination Guides,voiceover,voiceover,Statistic,0,45.39,134780,4844,770,946,832,0.054845,Medium,8,16.80%,8.62,travelguide,visit,travel,3
My experience: Visa interview questions to prepare for,12/12/2025,21:30,Friday,Visa Application Tips,voiceover,voiceover,Story,1,15.8,259598,12051,2875,1986,167,0.06579,High,11,16.16%,1.38,travelvisa,immigration,studyabroad,4
Stop scrolling - Visa application checklist,10/11/2025,15:30,Monday,Visa Application Tips,text_overlay,text_overlay,Dramatic,1,36.12,197663,6474,1338,1243,1490,0.053348,Medium,19,15.28%,5.11,visaguide,immigration,visaguide,5
Hotel booking trick?,31/01/2026,10:18,Saturday,Travel Hacks,voiceover,voiceover,Question,0,34.58,262422,13047,2310,998,1787,0.069133,High,10,12.96%,3.48,travelhacks,cheapflights,studyabroad,5
How to: Hotel booking trick,09/11/2025,07:48,Sunday,Travel Hacks,voiceover,voiceover,Tutorial,1,55.68,50263,2439,590,253,253,0.07033,High,4,4.00%,2.73,budgettravel,traveltips,workvisa,5
Cost breakdown you need - What to do in one day,07/12/2025,11:53,Sunday,Destination Guides,screen_recording,screen_recording,Statistic,0,18.31,173400,6395,1220,952,75,0.049839,Medium,13,14.68%,3.3,destination,hiddengems,relocation,3
What to do in one day?,01/11/2025,21:53,Saturday,Destination Guides,voiceover,voiceover,Question,0,16.4,78911,2896,524,477,284,0.052984,Medium,4,11.98%,2.76,destination,travelguide,studyabroad,5
How much it costs to travel here?,13/01/2026,07:13,Tuesday,Budget Travel,voiceover,voiceover,Question,1,37.26,185597,8021,2155,1249,113,0.062167,High,4,16.12%,6.84,traveltips,travelsavings,studyabroad,4
What to do in one day?,03/12/2025,09:53,Wednesday,Destination Guides,voiceover,voiceover,Question,0,10.08,21203,852,173,64,40,0.053247,Medium,1,15.69%,1.52,visit,destination,travel,4
How to: Visa application checklist,08/12/2025,07:58,Monday,Visa Application Tips,voiceover,voiceover,Tutorial,0,25.97,100233,5325,1263,422,433,0.074257,High,9,13.40%,4.15,visatips,travelvisa,travel,4
Approval rate tips - Perfect itinerary for first-timers,04/11/2025,21:06,Tuesday,Destination Guides,text_overlay,text_overlay,Statistic,0,38.37,86618,3487,808,398,45,0.0547,Medium,8,14.20%,4.98,hiddengems,destination,studyabroad,3
My experience: Packing hack that saves space,26/12/2025,19:10,Friday,Travel Hacks,voiceover,voiceover,Story,0,11.45,34438,1121,152,258,14,0.044863,Medium,3,10.43%,2.13,traveltips,packinghacks,creatorsearchinsight,3
How to: How much it costs to travel here,30/12/2025,22:53,Tuesday,Budget Travel,voiceover,voiceover,Tutorial,1,59.6,92539,4702,582,468,113,0.063379,High,2,26.70%,17.13,cheaptravel,travelonabudget,studyabroad,3
Low-cost itinerary tips?,26/01/2026,14:58,Monday,Budget Travel,voiceover,voiceover,Question,0,38.78,70411,2778,506,280,423,0.056625,Medium,5,23.48%,9.56,travelonabudget,cheaptravel,creatorsearchinsight,4
Approval rate tips - Save money on baggage fees,01/11/2025,08:37,Saturday,Travel Hacks,text_overlay,text_overlay,Statistic,0,45.07,65435,2562,442,445,357,0.058165,Medium,3,15.08%,5.44,traveltips,travelhacks,workvisa,5
Step-by-step visa process explained?,19/12/2025,07:06,Friday,Visa Application Tips,voiceover,voiceover,Question,0,46.56,75034,3351,822,643,45,0.064784,High,5,26.68%,13.48,visatips,visa,relocation,3
How to: How much it costs to travel here,18/01/2026,09:41,Sunday,Budget Travel,text_overlay,text_overlay,Tutorial,1,33.13,216108,10012,1143,883,2226,0.066004,High,17,4.00%,1.38,budgettravel,travelsavings,budgettravel,3
How to: How to find cheaper flights,29/12/2025,20:48,Monday,Travel Hacks,text_overlay,text_overlay,Tutorial,0,24.04,124539,5870,1375,537,76,0.063097,High,5,12.36%,3.2,travelhacks,traveltips,travelhacks,3
How much it costs to travel here?,21/11/2025,21:10,Friday,Budget Travel,screen_recording,screen_recording,Question,0,45.82,57784,2118,189,376,230,0.050412,Medium,4,19.39%,10.33,travelonabudget,travelsavings,visa,3
Save money on baggage fees?,11/12/2025,20:53,Thursday,Travel Hacks,voiceover,voiceover,Question,1,58.81,87006,3898,501,781,230,0.06218,High,2,27.15%,15.48,travelhacks,cheapflights,travel,3
Approval rate tips - 3 documents you must not forget,26/12/2025,10:10,Friday,Visa Application Tips,voiceover,voiceover,Statistic,0,87.94,31344,1236,353,233,17,0.058672,Medium,2,9.67%,8.83,visa,travelvisa,visa,4
Visa interview questions to prepare for?,09/11/2025,07:06,Sunday,Visa Application Tips,text_overlay,text_overlay,Question,0,18.87,43156,1823,305,281,438,0.06597,High,1,20.74%,3.5,visatips,visaguide,relocation,5
How to: Hidden gems you should not miss,20/12/2025,14:06,Saturday,Destination Guides,screen_recording,screen_recording,Tutorial,0,20.88,277357,13783,1966,1688,1115,0.066889,High,26,22.88%,5.84,hiddengems,visit,workvisa,3
3 documents you must not forget?,08/11/2025,09:18,Saturday,Visa Application Tips,text_overlay,text_overlay,Question,1,34.68,34143,1764,358,317,24,0.072138,High,3,27.62%,8.12,visa,travelvisa,visa,5
My experience: Common visa rejection reasons,29/11/2025,19:24,Saturday,Visa Application Tips,voiceover,voiceover,Story,1,37.85,199620,7697,2294,1271,1049,0.061672,High,19,27.18%,9.51,immigration,visatips,creatorsearchinsight,3
Top places to visit in 48 hours?,16/11/2025,13:06,Sunday,Destination Guides,voiceover,voiceover,Question,0,31.74,169038,6061,1308,950,820,0.054065,Medium,9,30.56%,9.0,thingstodo,visit,workvisa,3
How to: Hotel booking trick,13/11/2025,09:37,Thursday,Travel Hacks,voiceover,voiceover,Tutorial,0,45.0,244383,13285,2710,1278,173,0.071388,High,26,21.54%,8.99,budgettravel,traveltips,creatorsearchinsight,4
Visa application checklist?,05/11/2025,14:37,Wednesday,Visa Application Tips,text_overlay,text_overlay,Question,0,12.56,10194,455,37,44,73,0.059741,Medium,0,8.43%,1.55,immigration,visa,studyabroad,4
How to: Top places to visit in 48 hours,11/12/2025,13:06,Thursday,Destination Guides,screen_recording,screen_recording,Tutorial,0,18.38,98967,4300,843,634,56,0.058939,Medium,8,22.03%,3.76,travelguide,visit,studyabroad,3
How to: Packing hack that saves space,12/12/2025,08:30,Friday,Travel Hacks,screen_recording,screen_recording,Tutorial,0,44.88,189948,9721,1775,1413,127,0.068629,High,11,42.17%,17.96,travelhacks,budgettravel,travelhacks,3
Top places to visit in 48 hours?,06/01/2026,11:48,Tuesday,Destination Guides,text_overlay,text_overlay,Question,0,21.77,109057,3996,1034,540,49,0.051524,Medium,9,21.50%,4.14,thingstodo,hiddengems,studyabroad,3
How to: How to travel with $50/day,03/11/2025,16:06,Monday,Budget Travel,voiceover,voiceover,Tutorial,0,54.93,58538,2713,584,445,227,0.067802,High,6,16.09%,8.2,cheaptravel,traveltips,creatorsearchinsight,5
My experience: Perfect itinerary for first-timers,03/12/2025,19:10,Wednesday,Destination Guides,text_overlay,text_overlay,Story,1,31.75,93788,4437,426,561,54,0.058408,Medium,9,24.98%,9.01,thingstodo,destination,visa,5
Affordable destinations for 2026?,12/12/2025,14:30,Friday,Budget Travel,text_overlay,text_overlay,Question,0,37.08,167176,6905,875,929,1572,0.061498,High,17,17.97%,5.43,traveltips,travelonabudget,studyabroad,3
Cost breakdown you need - How to find cheaper flights,31/12/2025,21:24,Wednesday,Travel Hacks,voiceover,voiceover,Statistic,0,35.47,168883,6038,1415,711,1574,0.057661,Medium,8,14.32%,5.31,budgettravel,packinghacks,travel,4
Low-cost itinerary tips?,03/12/2025,12:06,Wednesday,Budget Travel,voiceover,voiceover,Question,0,83.0,28174,1150,209,160,38,0.055264,Medium,3,11.27%,9.65,traveltips,budgettravel,travel,3
My experience: Hotel booking trick,15/11/2025,09:06,Saturday,Travel Hacks,voiceover,voiceover,Story,1,7.04,88808,2881,845,442,42,0.047406,Medium,3,17.87%,2.67,packinghacks,travelhacks,workvisa,4
My experience: Common visa rejection reasons,04/01/2026,22:10,Sunday,Visa Application Tips,screen_recording,screen_recording,Story,1,28.82,287382,11536,2152,1863,220,0.054878,Medium,28,12.74%,2.74,visaguide,visatips,visaguide,3
Save up to 40% on fees - Travel hack for long layovers,24/01/2026,22:48,Saturday,Travel Hacks,voiceover,voiceover,Statistic,1,57.03,104359,4435,442,613,542,0.0578,Medium,2,21.52%,12.08,cheapflights,traveltips,creatorsearchinsight,5
How to: What to do in one day,10/12/2025,15:10,Wednesday,Destination Guides,voiceover,voiceover,Tutorial,1,15.85,14867,601,85,93,96,0.058855,Medium,1,22.77%,2.58,hiddengems,visit,studyabroad,4
Low-cost itinerary tips?,06/01/2026,18:53,Tuesday,Budget Travel,text_overlay,text_overlay,Question,0,7.39,131728,4907,1086,935,492,0.056328,Medium,8,24.49%,2.46,budgettravel,cheaptravel,relocation,3
How to: Packing hack that saves space,19/01/2026,08:06,Monday,Travel Hacks,voiceover,voiceover,Tutorial,1,33.33,126467,6248,1635,1553,105,0.075443,High,4,13.80%,5.41,packinghacks,traveltips,creatorsearchinsight,5
Approval rate tips - 3 documents you must not forget,25/01/2026,11:41,Sunday,Visa Application Tips,voiceover,voiceover,Statistic,0,42.79,46755,1931,231,287,433,0.06164,High,1,19.97%,7.37,visa,visaguide,travel,3
How to: What to do in one day,17/01/2026,16:37,Saturday,Destination Guides,voiceover,voiceover,Tutorial,0,18.62,68741,3593,383,135,374,0.065245,High,3,21.41%,3.67,thingstodo,hiddengems,studyabroad,3
Packing hack that saves space?,01/11/2025,14:48,Saturday,Travel Hacks,voiceover,voiceover,Question,1,44.86,129743,5487,813,880,679,0.060574,High,11,29.70%,12.85,packinghacks,travelhacks,creatorsearchinsight,4
My experience: Perfect itinerary for first-timers,02/12/2025,08:58,Tuesday,Destination Guides,voiceover,voiceover,Story,0,35.62,213224,8262,1295,646,784,0.051528,Medium,7,9.41%,2.36,hiddengems,visit,workvisa,5
My experience: Packing hack that saves space,26/01/2026,08:41,Monday,Travel Hacks,voiceover,voiceover,Story,0,35.05,182208,8511,1469,1715,118,0.064832,High,19,17.00%,7.4,budgettravel,cheapflights,budgettravel,5
How to: Budget breakdown for a 7-day trip,10/12/2025,22:30,Wednesday,Budget Travel,voiceover,voiceover,Tutorial,0,14.0,8713,361,74,67,28,0.060829,High,1,9.18%,1.0,traveltips,travelonabudget,visa,4
How to: Affordable destinations for 2026,24/01/2026,10:53,Saturday,Budget Travel,screen_recording,screen_recording,Tutorial,0,44.97,30197,1425,254,211,32,0.063649,High,1,31.67%,15.48,traveltips,travelonabudget,creatorsearchinsight,5
Save money on baggage fees?,19/12/2025,09:30,Friday,Travel Hacks,voiceover,voiceover,Question,0,56.83,57673,2347,717,428,32,0.061103,High,3,17.59%,9.1,packinghacks,traveltips,studyabroad,5
My experience: 3 documents you must not forget,08/11/2025,13:41,Saturday,Visa Application Tips,text_overlay,text_overlay,Story,0,42.48,348053,16579,2908,2091,1408,0.066042,High,23,20.88%,7.44,visa,visaguide,travel,5
Save up to 40% on fees - 3 documents you must not forget,31/01/2026,12:58,Saturday,Visa Application Tips,text_overlay,text_overlay,Statistic,1,39.03,64504,2872,611,543,235,0.066058,High,4,22.26%,9.54,visa,immigration,travel,5
Save up to 40% on fees - Hidden gems you should not miss,11/01/2026,20:10,Sunday,Destination Guides,voiceover,voiceover,Statistic,1,38.91,109052,4297,865,871,137,0.056579,Medium,4,10.20%,3.43,thingstodo,visit,studyabroad,5
My experience: 3 documents you must not forget,15/01/2026,22:37,Thursday,Visa Application Tips,voiceover,voiceover,Story,0,34.65,180431,8671,1929,590,597,0.065327,High,11,29.58%,11.58,visa,visaguide,workvisa,5
Hotel booking trick?,10/01/2026,07:00,Saturday,Travel Hacks,voiceover,voiceover,Question,1,31.04,117864,5891,721,351,929,0.066959,High,10,25.28%,8.9,packinghacks,cheapflights,studyabroad,5
Approval rate tips - Common visa rejection reasons,10/01/2026,19:53,Saturday,Visa Application Tips,text_overlay,text_overlay,Statistic,0,12.42,20558,732,141,117,116,0.053799,Medium,1,13.57%,1.0,visatips,travelvisa,visatips,4
How to: Common visa rejection reasons,20/12/2025,09:24,Saturday,Visa Application Tips,voiceover,voiceover,Tutorial,1,41.88,176114,8215,1375,1327,1914,0.072856,High,14,20.85%,9.66,visatips,travelvisa,visa,4
Cost breakdown you need - 3 documents you must not forget,19/11/2025,09:10,Wednesday,Visa Application Tips,voiceover,voiceover,Statistic,0,15.89,90605,3545,1050,450,82,0.056586,Medium,3,4.00%,1.0,travelvisa,visaguide,studyabroad,3
How to: 3 documents you must not forget,26/11/2025,18:06,Wednesday,Visa Application Tips,voiceover,voiceover,Tutorial,1,15.58,134717,7028,1505,531,549,0.071357,High,8,32.83%,6.55,travelvisa,visaguide,visa,4
How to find cheaper flights?,10/01/2026,07:37,Saturday,Travel Hacks,text_overlay,text_overlay,Question,0,64.97,31453,1121,286,259,138,0.057355,Medium,1,10.17%,6.42,packinghacks,cheapflights,workvisa,3
Approval rate tips - Hidden gems you should not miss,25/01/2026,13:48,Sunday,Destination Guides,voiceover,voiceover,Statistic,0,20.71,156860,6081,1224,958,504,0.055891,Medium,12,10.10%,1.73,hiddengems,destination,workvisa,5
Top places to visit in 48 hours?,13/01/2026,22:18,Tuesday,Destination Guides,screen_recording,screen_recording,Question,0,24.9,9884,339,52,56,73,0.05261,Medium,1,11.12%,3.84,visit,travelguide,travel,4
Don’t do this - Budget breakdown for a 7-day trip,03/12/2025,09:58,Wednesday,Budget Travel,voiceover,voiceover,Dramatic,1,44.0,210881,7479,1824,519,94,0.047022,Medium,10,26.61%,11.55,budgettravel,traveltips,budgettravel,5
3 documents you must not forget?,27/01/2026,22:06,Tuesday,Visa Application Tips,text_overlay,text_overlay,Question,0,22.57,82371,3670,625,458,718,0.066419,High,8,12.53%,1.47,immigration,visatips,workvisa,5
My experience: Save money on baggage fees,11/11/2025,16:24,Tuesday,Travel Hacks,screen_recording,screen_recording,Story,0,22.55,390803,17183,2853,1189,2279,0.060143,High,28,8.33%,2.9,traveltips,travelhacks,relocation,3
3 documents you must not forget?,20/12/2025,21:13,Saturday,Visa Application Tips,screen_recording,screen_recording,Question,1,27.78,291959,13018,2415,1921,173,0.060032,High,29,17.88%,3.76,immigration,visatips,relocation,4
How to: How much it costs to travel here,12/01/2026,18:06,Monday,Budget Travel,voiceover,voiceover,Tutorial,0,18.86,41171,2342,278,91,178,0.070171,High,4,21.54%,4.22,traveltips,travelsavings,travel,4
Important update - Save money on baggage fees,20/01/2026,18:48,Tuesday,Travel Hacks,screen_recording,screen_recording,Dramatic,0,23.68,29757,1004,197,159,14,0.046174,Medium,3,22.60%,6.18,packinghacks,cheapflights,relocation,3
How to: How to travel with $50/day,01/12/2025,10:53,Monday,Budget Travel,text_overlay,text_overlay,Tutorial,1,29.44,116867,4609,913,592,853,0.059615,Medium,3,17.81%,4.6,cheaptravel,budgettravel,visa,3
Visa application checklist?,27/11/2025,10:18,Thursday,Visa Application Tips,screen_recording,screen_recording,Question,0,37.73,68891,2691,427,576,734,0.064275,High,6,18.83%,7.36,immigration,visaguide,studyabroad,5
My experience: Step-by-step visa process explained,23/01/2026,19:10,Friday,Visa Application Tips,screen_recording,screen_recording,Story,1,12.9,17880,773,94,129,9,0.056208,Medium,1,17.55%,1.88,visa,travelvisa,visa,4
Common visa rejection reasons?,25/12/2025,11:13,Thursday,Visa Application Tips,voiceover,voiceover,Question,1,42.01,80088,3505,916,608,483,0.068824,High,2,22.26%,10.63,immigration,visa,immigration,3
How to: Affordable destinations for 2026,13/12/2025,09:24,Saturday,Budget Travel,voiceover,voiceover,Tutorial,0,14.71,219693,9278,1797,1197,111,0.056365,Medium,12,23.88%,3.96,travelsavings,budgettravel,workvisa,4
Affordable destinations for 2026?,08/11/2025,16:41,Saturday,Budget Travel,voiceover,voiceover,Question,0,63.18,35152,1422,242,173,18,0.052771,Medium,1,4.00%,1.15,traveltips,cheaptravel,workvisa,4
Visa application checklist?,02/12/2025,15:53,Tuesday,Visa Application Tips,voiceover,voiceover,Question,0,33.6,85872,3467,909,507,554,0.063315,High,3,29.40%,10.39,travelvisa,visaguide,relocation,4
Step-by-step visa process explained?,15/01/2026,22:10,Thursday,Visa Application Tips,voiceover,voiceover,Question,1,87.6,25066,925,138,151,175,0.055414,Medium,1,11.80%,9.26,visa,visatips,relocation,3
Cost breakdown you need - Hidden gems you should not miss,06/12/2025,12:37,Saturday,Destination Guides,text_overlay,text_overlay,Statistic,0,46.12,74340,2836,670,468,103,0.054843,Medium,1,10.83%,4.81,travelguide,destination,travelguide,3
Approval rate tips - Hidden gems you should not miss,15/01/2026,21:53,Thursday,Destination Guides,voiceover,voiceover,Statistic,1,40.07,60135,2637,488,506,35,0.060963,High,6,14.39%,6.62,destination,thingstodo,visa,5
Budget breakdown for a 7-day trip?,16/11/2025,21:24,Sunday,Budget Travel,voiceover,voiceover,Question,0,44.85,163452,5744,1495,1137,789,0.056072,Medium,6,23.80%,10.73,traveltips,travelonabudget,workvisa,4
Approval rate tips - How to find cheaper flights,30/11/2025,20:53,Sunday,Travel Hacks,text_overlay,text_overlay,Statistic,1,40.97,93389,3563,1074,548,415,0.059964,Medium,4,16.58%,7.5,packinghacks,travelhacks,visa,5
Travel hack for long layovers?,18/12/2025,13:18,Thursday,Travel Hacks,screen_recording,screen_recording,Question,0,40.05,117899,5370,1268,667,69,0.062545,High,3,12.78%,6.31,traveltips,budgettravel,traveltips,4
Visa application checklist?,20/11/2025,18:41,Thursday,Visa Application Tips,voiceover,voiceover,Question,0,40.69,58614,2748,544,484,37,0.065053,High,6,24.79%,8.95,travelvisa,visaguide,workvisa,4
Hotel booking trick?,13/11/2025,13:58,Thursday,Travel Hacks,text_overlay,text_overlay,Question,1,46.71,322274,13935,3685,1555,193,0.060098,High,32,15.44%,8.28,traveltips,cheapflights,workvisa,5
Cost breakdown you need - Visa application checklist,22/12/2025,14:53,Monday,Visa Application Tips,voiceover,voiceover,Statistic,0,46.35,19868,913,176,134,65,0.064828,High,1,25.12%,12.71,visaguide,visa,studyabroad,5
My experience: Hidden gems you should not miss,20/12/2025,12:06,Saturday,Destination Guides,voiceover,voiceover,Story,0,52.19,17472,493,72,95,118,0.044528,Medium,1,9.56%,6.42,visit,travelguide,visa,4
Low-cost itinerary tips?,15/11/2025,18:18,Saturday,Budget Travel,screen_recording,screen_recording,Question,0,15.07,161472,5746,1686,1172,434,0.055973,Medium,6,23.77%,4.67,travelonabudget,travelsavings,travelonabudget,4
